exchange	date	high	low	close	volume	
mtgox	12/31/12	13.56	13.37	13.51	15049.79	
mtgox	1/1/13	13.56	13.16	13.30	28406.21	
mtgox	1/2/13	13.40	13.16	13.28	17966.81	
mtgox	1/3/13	13.46	13.25	13.40	18032.25	
mtgox	1/4/13	13.52	13.27	13.50	29641.92	
mtgox	1/5/13	13.55	13.31	13.44	21329.93	
mtgox	1/6/13	13.52	13.36	13.45	12741.13	
mtgox	1/7/13	13.59	13.40	13.59	25477.72	
mtgox	1/8/13	13.88	13.50	13.74	42798.37	
mtgox	1/9/13	13.86	13.62	13.77	28606.38	
mtgox	1/10/13	14.32	13.77	14.14	51811.03	
mtgox	1/11/13	14.35	13.91	14.14	40434.54	
mtgox	1/12/13	14.34	13.98	14.24	26931.84	
mtgox	1/13/13	14.31	13.95	14.12	38330.15	
mtgox	1/14/13	14.35	14.11	14.30	22096.95	
mtgox	1/15/13	14.48	13.99	14.25	51573.23	
mtgox	1/16/13	14.73	14.21	14.73	45532.49	
mtgox	1/17/13	15.70	14.63	15.50	65489.44	
mtgox	1/18/13	15.99	15.41	15.70	56097.55	
mtgox	1/19/13	15.77	15.25	15.62	34588.82	
mtgox	1/20/13	15.89	15.51	15.70	25982.13	
mtgox	1/21/13	16.98	15.63	16.80	61502.10	
mtgox	1/22/13	17.59	16.65	17.26	60975.24	
mtgox	1/23/13	17.59	16.80	17.50	49439.37	
mtgox	1/24/13	19.19	15.61	16.90	172009.10	
mtgox	1/25/13	17.80	15.39	17.40	80767.49	
mtgox	1/26/13	17.88	16.54	17.88	34810.60	
mtgox	1/27/13	18.00	17.21	17.82	23766.82	
mtgox	1/28/13	18.88	17.75	18.72	57669.44	
mtgox	1/29/13	19.80	18.70	19.53	86082.08	
mtgox	1/30/13	19.80	19.15	19.70	45064.83	
mtgox	1/31/13	21.43	19.51	20.41	99226.70	
mtgox	2/1/13	21.13	20.30	20.50	49917.48	
mtgox	2/2/13	20.50	18.00	19.63	80501.65	
mtgox	2/3/13	20.90	19.42	20.59	34244.30	
mtgox	2/4/13	21.05	19.86	20.43	52219.14	
mtgox	2/5/13	20.79	20.20	20.60	29212.44	
mtgox	2/6/13	21.33	20.60	21.18	51989.60	
mtgox	2/7/13	22.22	20.77	22.15	64263.77	
mtgox	2/8/13	22.77	22.00	22.66	48649.93	
mtgox	2/9/13	23.99	22.58	23.65	38133.01	
mtgox	2/10/13	24.11	22.67	23.97	56426.07	
mtgox	2/11/13	24.68	23.65	24.65	29526.73	
mtgox	2/12/13	25.83	24.30	25.17	74239.93	
mtgox	2/13/13	26.30	24.19	24.20	90150.21	
mtgox	2/14/13	27.60	21.72	27.22	145734.74	
mtgox	2/15/13	27.51	26.10	27.10	51714.15	
mtgox	2/16/13	27.50	26.81	27.22	18826.94	
mtgox	2/17/13	27.40	25.00	26.81	77042.22	
mtgox	2/18/13	27.15	26.36	26.95	29744.27	
mtgox	2/19/13	29.65	26.80	29.42	99699.25	
mtgox	2/20/13	29.87	28.99	29.65	37209.36	
mtgox	2/21/13	29.98	29.31	29.75	34730.51	
mtgox	2/22/13	31.30	29.67	30.25	66951.69	
mtgox	2/23/13	30.69	28.00	29.80	72278.17	
mtgox	2/24/13	30.40	29.20	29.89	24274.89	
mtgox	2/25/13	30.40	29.55	30.40	26778.95	
mtgox	2/26/13	31.70	30.12	31.10	42864.33	
mtgox	2/27/13	31.65	30.79	30.90	30472.78	
mtgox	2/28/13	34.52	30.90	33.38	126517.41	
mtgox	3/1/13	34.90	32.92	34.50	39786.14	
mtgox	3/2/13	34.81	33.15	34.25	36662.49	
mtgox	3/3/13	34.50	33.80	34.50	12524.59	
mtgox	3/4/13	36.70	34.19	36.15	46771.49	
mtgox	3/5/13	40.65	36.15	40.33	85425.52	
mtgox	3/6/13	49.10	40.14	41.02	126451.72	
mtgox	3/7/13	45.50	33.30	42.00	157316.08	
mtgox	3/8/13	44.50	41.02	44.18	47095.97	
mtgox	3/9/13	46.99	43.41	46.85	44475.89	
mtgox	3/10/13	47.95	45.47	46.00	36363.25	
mtgox	3/11/13	48.47	45.54	48.40	41390.18	
mtgox	3/12/13	48.40	36.65	44.29	183404.75	
mtgox	3/13/13	47.30	43.75	46.92	49497.44	
mtgox	3/14/13	47.99	46.05	47.17	37034.85	
mtgox	3/15/13	47.45	46.40	46.95	20223.95	
mtgox	3/16/13	47.36	46.27	47.00	16288.51	
mtgox	3/17/13	47.74	46.80	47.40	13902.62	
mtgox	3/18/13	52.88	47.12	51.60	65199.79	
mtgox	3/19/13	62.00	50.00	59.14	111627.22	
mtgox	3/20/13	66.00	57.70	64.49	93128.83	
mtgox	3/21/13	74.90	63.10	70.85	94225.81	
mtgox	3/22/13	73.75	65.00	69.87	73168.07	
mtgox	3/23/13	70.50	52.35	64.35	150462.18	
mtgox	3/24/13	72.50	62.70	71.50	42006.36	
mtgox	3/25/13	78.00	69.52	73.60	79730.06	
mtgox	3/26/13	79.72	73.11	78.50	56654.33	
mtgox	3/27/13	89.50	78.40	88.92	72182.81	
mtgox	3/28/13	95.70	75.00	86.18	140226.88	
mtgox	3/29/13	93.06	83.01	90.50	83152.75	
mtgox	3/30/13	94.98	87.00	92.19	37270.51	
mtgox	3/31/13	93.80	91.00	93.03	21092.38	
mtgox	4/1/13	106.00	92.24	104.00	90527.29	
mtgox	4/2/13	118.36	99.00	117.98	81260.80	
mtgox	4/3/13	147.00	110.00	135.00	152624.24	
mtgox	4/4/13	142.12	116.39	132.12	88124.78	
mtgox	4/5/13	144.94	130.24	142.32	68557.50	
mtgox	4/6/13	143.90	139.54	142.63	18273.09	
mtgox	4/7/13	164.90	142.63	162.30	60947.52	
